FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;04.08.2022;109,54
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;05.08.2022;110,25
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;08.08.2022;109,89
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;09.08.2022;109,67
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;10.08.2022;109,33
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;11.08.2022;108,03
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;12.08.2022;108,13
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;15.08.2022;108,97
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;16.08.2022;108,82
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;17.08.2022;108,63
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;18.08.2022;108,39
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;19.08.2022;108,77
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;22.08.2022;108,08
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;23.08.2022;108,11
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;24.08.2022;106,92
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;25.08.2022;106,92
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;26.08.2022;107,02
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;29.08.2022;107,86
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;30.08.2022;107,6
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;31.08.2022;109,64
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;01.09.2022;110,27
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;02.09.2022;110,18
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;05.09.2022;109,49
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;06.09.2022;109,21
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;07.09.2022;109,73
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;08.09.2022;110,61
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;09.09.2022;109,78
